"","DPM","DPMRatio","Restraint","RestraintRatio","40s","40sRatio"
"Cadena",6314202251518,1.7357,5469298795909,1.6986,9129142784468,1.7556
"Adele",6302392503037,1.7325,6298859579808,1.9563,9524358134464,1.8316
"Blaster",6276944403360,1.7255,5632340936459,1.7493,9566300266374,1.8397
"Hoyeong",5892097546130,1.6197,6330998852200,1.9663,10056668091760,1.934
"Kinesis",5859273398321,1.6107,4270175107778,1.3262,7239098935384,1.3922
"Evan",5842845211905,1.6061,5180385689975,1.6089,7183742996030,1.3815
"Illium",5819228918273,1.5997,4050405086328,1.258,7577687942373,1.4573
"Ark",5713351868433,1.5705,6881984005459,2.1374,10278376222026,1.9767
"NightWalker",5698005217739,1.5663,5864840892803,1.8215,9211282534418,1.7714
"Hero",5550343344990,1.5257,5180523000427,1.609,9243815367190,1.7777
"ArchMageFP",5533042674300,1.521,3692540578283,1.1468,6346993983804,1.2206
"NightLord",5414345661731,1.4884,7772244157293,2.4139,10884767495788,2.0933
"WildHunter",5301646878437,1.4574,5279992283032,1.6398,8528577294477,1.6401
"SoulMaster",5293882578279,1.4552,3516615216033,1.0922,6253902620244,1.2027
"PathFinder",5285363189555,1.4529,4612673635240,1.4326,7342293619097,1.412
"BattleMage",5279094781885,1.4512,4164771555655,1.2935,8064572622204,1.5509
"DemonSlayer",5273278730927,1.4496,4440009300891,1.379,7521824531485,1.4465
"Aran",5162684857682,1.4192,4880721881558,1.5158,8727149025814,1.6783
"Mechanic",5158930224295,1.4181,4806007991791,1.4926,7368366170947,1.417
"AngelicBuster",5156875994645,1.4176,4499415547712,1.3974,6731432538341,1.2945
"Shadower",5154919899237,1.417,4035518737753,1.2533,6404372822018,1.2316
"ArchMageTC",5133966943296,1.4113,5831926947203,1.8113,7593864127270,1.4604
"Captain",5122033954350,1.408,4165522796951,1.2937,6063552468599,1.1661
"Kain",5032528864994,1.3834,5679342632936,1.7639,7855778467298,1.5108
"Kaiser",4973363788418,1.3671,3266132760079,1.0144,6100122826333,1.1731
"Mikhail",4917663160513,1.3518,4392112776517,1.3641,7739463582706,1.4884
"Zero",4773278401194,1.3121,3519803806238,1.0932,6138641490708,1.1805
"Viper",4746179222221,1.3047,3516355669030,1.0921,5744709053736,1.1048
"Eunwol",4736003863706,1.3019,4287999896650,1.3318,6411100118901,1.2329
"FlameWizard",4702939135733,1.2928,3714950265595,1.1538,5786400636904,1.1128
"Lara",4690013485969,1.2892,4633504141191,1.4391,6140563539344,1.1809
"Marksman",4687971270854,1.2887,4582547884521,1.4232,7062492146799,1.3582
"DarkKnight",4687256834629,1.2885,4650873293570,1.4445,6893012310819,1.3256
"Luminous",4669414709055,1.2836,3371792453097,1.0472,5878142091365,1.1304
"Bowmaster",4618222638655,1.2695,3464928045431,1.0761,6439630369525,1.2384
"Phantom",4590594409573,1.2619,4294910579692,1.3339,6211173054437,1.1945
"DualBlader",4562398861274,1.2542,4188412837503,1.3008,6177072709447,1.1879
"Striker",4525188335603,1.2439,3192430050132,0.9915,5479088195936,1.0537
"WindBreaker",4371600310893,1.2017,3083836369349,0.9578,5332898120891,1.0256
"CannonMaster",4347555448933,1.1951,3938581974008,1.2232,5996232244511,1.1531
"Mercedes",4205001514091,1.1559,4517674150103,1.4031,6912827797732,1.3294
"Palladin",4186741211452,1.1509,3824598855310,1.1878,5705824080934,1.0973
"DemonAvenger",4135486882622,1.1368,2546039455749,0.7907,4504428980262,0.8663
"Xenon",4047801943029,1.1127,4771937596890,1.4821,6502841897916,1.2506
"Bishop",3637808523980,1,3219804733648,1,5199891297099,1
