"","DPM","DamageLeakage","Restraint","40s","DPMRatio","LeakageRatio","RestraintRatio","40sRatio"
"Hero",5518997615440.17,167.7808,17459781659.7686,0.2811,5154908797513.47,196.1989,9190982581037.72,200.2496
"Palladin",4038670516118.57,122.778,0,0,3519543612092.88,133.9559,5506647320041.59,119.9767
"DarkKinght",0,0,0,0,0,0,0,0
"ArchMageFP",5989658925952.1,182.0892,0,0,3803325307363.95,144.7569,6724137302924.78,146.5029
"ArchMageTC",0,0,0,0,0,0,0,0
"Bishop",3289408556111.7,100,17506393509.9819,0.2818,2627388806826.42,100,4589763955358.53,100
"Bowmaster",0,0,0,0,0,0,0,0
"Marksman",4063456712502.78,123.5315,23164470876.3618,0.3729,3572416985250.46,135.9683,5843008647435.2,127.3052
"PathFinder",0,0,0,0,0,0,0,0
"NightLord",4613615558967.29,140.2567,48417463.1279297,0.0008,6451217719326.71,245.5372,9360504390230.78,203.943
"Shadower",0,0,0,0,0,0,0,0
"DualBlader",4503371137552.22,136.9052,390518005.680664,0.0063,4003515655234.13,152.3762,5988177534482.55,130.4681
"Viper",0,0,0,0,0,0,0,0
"Captain",0,0,0,0,0,0,0,0
"CannonMaster",0,0,0,0,0,0,0,0
"Mikhail",4287005393336.81,130.3275,12742060649.333,0.2051,3341228265522.66,127.1692,6309129531049.94,137.4609
"SoulMaster",0,0,0,0,0,0,0,0
"FlameWizard",0,0,0,0,0,0,0,0
"WindBreaker",4271772247891.66,129.8644,0,0,2971470062667.08,113.0959,5029342027630.01,109.5774
"NightWalker",0,0,0,0,0,0,0,0
"Striker",0,0,0,0,0,0,0,0
"Aran",0,0,0,0,0,0,0,0
"Evan",0,0,0,0,0,0,0,0
"Luminous",0,0,0,0,0,0,0,0
"Mercedes",0,0,0,0,0,0,0,0
"Phantom",0,0,0,0,0,0,0,0
"Eunwol",0,0,0,0,0,0,0,0
"Blaster",0,0,0,0,0,0,0,0
"BattleMage",0,0,0,0,0,0,0,0
"WildHunter",0,0,0,0,0,0,0,0
"Mechanic",4654138630798.77,141.4886,0,0,3781613925278.23,143.9305,6273065744945.73,136.6751
"Xenon",0,0,0,0,0,0,0,0
"DemonSlayer",0,0,0,0,0,0,0,0
"DemonAvenger",0,0,0,0,0,0,0,0
"Kaiser",0,0,0,0,0,0,0,0
"Cadena",0,0,0,0,0,0,0,0
"AngelicBuster",0,0,0,0,0,0,0,0
"Adele",6211743443974.53,188.8407,31387152523.0967,0.5053,5584350395323.06,212.5437,9654505978949.7,210.3486
"Illium",5286811723907.17,160.7223,33218584856.5371,0.5348,3795760796296.98,144.4689,7227667732715.25,157.4736
"Ark",0,0,0,0,0,0,0,0
"Hoyeong",0,0,0,0,0,0,0,0
"Zero",0,0,0,0,0,0,0,0
"Kinesis",0,0,0,0,0,0,0,0
