,TimesPerMin,TimesPerMin2
Stroke1,96.5526265,96.5526265
Stroke2,32.22108971,32.22108971
Chase,10.47058824,10.47058824
Scimitar,10.47058824,10.47058824
Claw,5.77821775,5.77821775
Wingdagger,6.457425,6.457425
Shotgun,13.81818218,13.81818218
Knife,8.536633818,8.536633818
Bomb,9.665346909,9.665346909
Brick,9.271896308,9.271896308
Needlebat,6.790671579,6.790671579
Maelstrom,13.26930839,13.26930839
Crush,1.706930578,1.706930578
Ordnance,2.6574256,2.6574256
Variety,71.838,71.838
VarietyFinale,7.782,4.26
Fury,85.364,0
