,TimesPerMin,TimesPerMin2
ChainArtsStroke1,87.69183055,87.69183055
ChainArtsStroke2,32.03760671,32.03760671
ChainArtsChase,0,0
SummonCuttingScimitar,10.34653482,10.34653482
SummonScratchingClaw,5.526732625,5.526732625
SummonThrowingWingdagger,20.56188,20.56188
SummonThrowingWingdaggerExplosion,6.85396,6.85396
SummonShootingShotgun,8.329411765,8.329411765
SummonSlashingKnife,8.778217455,8.778217455
SummonReleasingBomb,5.639021412,5.639021412
SummonStrikingBrick,9.695049538,9.695049538
SummonBittingNeedlebat1,7.339256216,7.339256216
SummonBittingNeedlebat2,7.339256216,7.339256216
SummonBittingNeedlebat3,7.339256216,7.339256216
ChainArtsMaelstrom,105.8493729,105.8493729
ChainArtsCrush,1.724752444,1.724752444
ADOrdnance,95.73860983,95.73860983
ADOrdnanceSphere,2.659405829,2.659405829
WeaponVariety,70.628,70.628
WeaponVarietyFinale,7.796,4.274
ChainArtsFury,85.394,0
ProfessionalAgent,289.830766,0
