,TimesPerMin,TimesPerMin2
ChainArtsStroke1,96.15049238,96.15049238
ChainArtsStroke2,37.59603695,37.59603695
ChainArtsChase,10.65346588,10.65346588
SummonCuttingScimitar,10.65346588,10.65346588
SummonScratchingClaw,8.08910625,8.08910625
SummonThrowingWingdagger,16.72872,16.72872
SummonThrowingWingdaggerExplosion,5.57624,5.57624
SummonShootingShotgun,11.45544545,11.45544545
SummonSlashingKnife,6.891089091,6.891089091
SummonReleasingBomb,7.960396364,7.960396364
SummonStrikingBrick,7.891089231,7.891089231
SummonBittingNeedlebat1,5.613863158,5.613863158
SummonBittingNeedlebat2,5.613863158,5.613863158
SummonBittingNeedlebat3,5.613863158,5.613863158
ChainArtsMaelstrom,107.5643355,107.5643355
ChainArtsCrush,1.811881333,1.811881333
ADOrdnance,98.91089486,98.91089486
ADOrdnanceSphere,2.673267429,2.673267429
WeaponVariety,65.12,65.12
WeaponVarietyFinale,7.63,4.13
ChainArtsFury,84.99,0
ProfessionalAgent,303.4190183,0
