"","Damage","Ratio"
"Order",7032015275633,0.1962
"Divide",5467083646276,0.1525
"Infinite",4730180330745,0.132
"Blossom",3538518208926,0.0987
"Creation",3197096678327,0.0892
"Territory",3191183542583,0.089
"Gathering",1928029178861,0.0538
"Ruin",1642429872311,0.0458
"Storm",1586435123230,0.0443
"Wonder",1261000510999,0.0352
"AuraWeapon",730097627741,0.0204
"Restore",351464290580,0.0098
"Marker",291607635031,0.0081
"Resonance",273033536449,0.0076
"SpiderInMirror",272644210110,0.0076
"Grave",208754037141,0.0058
"MagicCircuitFullDrive",136981263579,0.0038
