"","Damage","Ratio"
"AuraWeapon",1847619812885.55,0.0203
"Blossom",8949340907114.75,0.0986
"Creation",8162366500238.1,0.0899
"Divide",13908532629491.2,0.1532
"Gathering",4875666975641.01,0.0537
"Grave",521192750786.802,0.0057
"Infinite",11753626591157.2,0.1294
"MagicCircuitFullDrive",340396383661.838,0.0037
"Marker",762721098712.393,0.0084
"Order",17856034684110.6,0.1966
"Resonance",732414067234.068,0.0081
"Restore",872935298279.781,0.0096
"Ruin",4128188326097.1,0.0455
"Storm",3891866711334.79,0.0429
"Territory",8099254164376.21,0.0892
"Wonder",3360329748240.94,0.037
"SpiderInMirror",741966063009.476,0.0082
