"","Damage","Ratio"
"Beyonder",19706191752269,0.2907
"FenrirCrash",14123170565597,0.2083
"HuntersTargeting",9443330404050,0.1393
"BlizardTempest",6456714527902,0.0952
"FinalBlow",5717561730403,0.0843
"AdvancedFinalAttack",4943174729467,0.0729
"BrandishMaha",2104539126409,0.031
"AuraWeapon",1351480225823,0.0199
"AeroSwing",1226822091171,0.0181
"InstallMaha",975724205662,0.0144
"SwingAfterimage",680463954965,0.01
"SpiderInMirror",529755450265,0.0078
"ZoneofMaha",529704173152,0.0078
"GatheringCatcher",3498840603,0.0001
