"","Damage","Ratio"
"Beyonder",57936903436180,0.3045
"FenrirCrash",41071588623004,0.2159
"HuntersTargeting",25660163642111,0.1349
"BlizardTempest",17195260874920,0.0904
"FinalBlow",16523888249675,0.0868
"AdvancedFinalAttack",14014522121084,0.0737
"BrandishMaha",6354457230588,0.0334
"AuraWeapon",3774508264863,0.0198
"InstallMaha",3330109144748,0.0175
"SpiderInMirror",1628754201046,0.0086
"ZoneofMaha",1108199388564,0.0058
"AeroSwing",1059646233202,0.0056
"SwingAfterimage",593214986406,0.0031
"GatheringCatcher",9709823379,0.0001
