"","Damage","Ratio"
"MistEruption",3954306256870,0.1949
"DotPunisher",3109399729994,0.1535
"Paralyze",2771117095688,0.1357
"Ignite",2273567007589,0.1121
"FlameHaze",1947205754324,0.0958
"PoisonChain",1410464912326,0.0694
"PoisonNova",1370212709383,0.0676
"FuryofIfrit",1035741845885,0.0519
"Meteor",943659729822,0.0467
"FireAura",546945933917,0.0269
"SpiderInMirror",492252096354,0.0237
"MegiddoFlame",220537816922,0.0111
"Ifrit",196726676377,0.0097
"TeleportMastery",20825321001,0.001
"Explosion",337170125,0
"FlameOrb",125294084,0
"PoisonMist",112390042,0
"PoisonBreath",37463347,0
"EnergyBolt",12862416,0
