"","Damage","Ratio"
"FlameSweep",34792606642215,0.1488
"MistEruption",33918804341312,0.1451
"DotPunisher",31683496346091,0.1355
"Ignite",28050250835311,0.12
"PoisonRegion",25187150682146,0.1077
"FlameHaze",17078892638795,0.0731
"PoisonChain",14238920519008,0.0609
"PoisonNova",12890277707121,0.0551
"Meteor",10322861556743,0.0442
"FuryofIfrit",9190057012917,0.0393
"FireAura",5164955299651,0.0221
"SpiderInMirror",4599791572965,0.0197
"MegiddoFlame",3505836016093,0.015
"Ifrit",2843627970144,0.0122
"TeleportMastery",327891384483,0.0014
