"","Damage","Ratio"
"ChainLightning",7349551060595,0.3762
"ThunderBreak",2868457600005,0.1472
"LightningSpear",2298341249858,0.1174
"JupiterThunder",2178159032687,0.112
"SpiritofSnow",1459101376177,0.0747
"Blizard",1067743240815,0.0547
"ThunderStorm",687697828848,0.0353
"FrozenOrb",458324741175,0.0235
"IceAge",453828257762,0.0232
"SpiderInMirror",451423609717,0.0227
"Elquines",253231064633,0.013
"IceStrike",565178990,0
"GlacialChain",484619895,0
"ThunderBolt",154943710,0
"ColdBeam",125899947,0
"EnergyBolt",13032859,0
