"","Damage","Ratio"
"ChainLightning",18936043577262,0.3818
"ThunderBreak",7205888999893,0.1459
"LightningSpear",5711504557154,0.115
"JupiterThunder",5301072590581,0.1075
"SpiritofSnow",3717077755630,0.0751
"Blizard",2693797822374,0.0544
"ThunderStorm",1779881567537,0.0359
"SpiderInMirror",1251572189671,0.0247
"FrozenOrb",1144904128615,0.0232
"IceAge",1150080327765,0.0231
"Elquines",655265047971,0.0132
"IceStrike",1321281794,0
"GlacialChain",1132949837,0
"ThunderBolt",358686491,0
"ColdBeam",294330310,0
"EnergyBolt",30468364,0
