"","Damage","Ratio"
"ImpendingDeath",18309608913056,0.2604
"AbyssalRecall",6233867553991,0.0887
"EndlessOminousDream",6152137613630,0.0875
"VengefulHate",4985137451466,0.0709
"EndlesslyStarvingBeast",4841990281558,0.0689
"PlainChargeDrive",4711080047134,0.067
"PlainSpell",3819961223129,0.0543
"EndlessAgony",2296225010378,0.0327
"CreepingTerror",1693930923131,0.0241
"UnbridledChaos",1636339372131,0.0233
"DeviousOminousDream",1632791817524,0.0232
"GrievousWound",1474073621255,0.021
"InsatiableHunger",1433135239594,0.0204
"EndlessNightmare",1383491492136,0.0197
"BlissfulRestraint",1249643542591,0.0178
"AbyssChargeDrive",1184915669688,0.0169
"DeviousNightmare",1178224439638,0.0168
"ScarletChargeDrive",1156603651378,0.0165
"GustChargeDrive",1024262038247,0.0146
"SpiderInMirror",948409679139,0.0135
"TenaciousInstinct",670620905565,0.0095
"ScarletSpell",563921226870,0.008
"AbyssSpell",508027393517,0.0072
"UnstoppableImpulse",433015175846,0.0062
"MagicCircuitFullDrive",415068480773,0.0059
"GustSpell",366955525117,0.0052
