"","Damage","Ratio"
"ImpendingDeath",44890093500660,0.2596
"EndlessOminousDream",15239740549514,0.0881
"AbyssalRecall",14419696816695,0.0834
"VengefulHate",13328636026527,0.0771
"EndlesslyStarvingBeast",11468231033245,0.0663
"PlainChargeDrive",11073941296226,0.0641
"PlainSpell",9256855065481,0.0535
"EndlessAgony",5500863980351,0.0318
"DeviousOminousDream",4703030590486,0.0272
"UnbridledChaos",4139600097479,0.0239
"CreepingTerror",4083196474543,0.0236
"GrievousWound",3693009622884,0.0214
"InsatiableHunger",3477897014515,0.0201
"AbyssChargeDrive",3315421898915,0.0192
"EndlessNightmare",3216249332467,0.0186
"BlissfulRestraint",2892027568848,0.0167
"DeviousNightmare",2830421318918,0.0164
"ScarletChargeDrive",2689438476506,0.0156
"GustChargeDrive",2632584766077,0.0152
"SpiderInMirror",2275718039535,0.0132
"TenaciousInstinct",1695471466146,0.0098
"AbyssSpell",1423353778440,0.0082
"ScarletSpell",1313511549955,0.0076
"UnstoppableImpulse",1234209893201,0.0071
"MagicCircuitFullDrive",1150893933736,0.0067
"GustSpell",943958232819,0.0055
