"","Damage","Ratio"
"DoubleFang",10913101241720,0.1426
"MagnumPunch",9783542899587,0.1278
"BunkerBuster",8772765908632,0.1146
"RevolvingCannon",8008637944239,0.1047
"VulcanPunch",7770444861361,0.1015
"BurningBreaker",7577746253452,0.099
"ReleasePileBunker",6254362410481,0.0817
"AfterimageShock",5990641753059,0.0783
"ResistanceLineInfantry",3366183818870,0.044
"RevolvingCannonMastery",2488659793239,0.0325
"HammerSmash",2471712480885,0.0323
"AuraWeapon",2141927139740,0.028
"SpiderInMirror",986306375089,0.0129
