"","Damage","Ratio"
"DoubleFang",31864560358182,0.1485
"MagnumPunch",28451831925587,0.1326
"BunkerBuster",25787898647875,0.1201
"RevolvingCannon",21021115976475,0.0979
"ReleasePileBunker",20647409198359,0.0962
"BurningBreaker",20465795247925,0.0953
"VulcanPunch",20181813794448,0.094
"AfterimageShock",15348813187021,0.0715
"ResistanceLineInfantry",8845598813074,0.0412
"HammerSmash",7149193325785,0.0333
"RevolvingCannonMastery",6396019877395,0.0298
"AuraWeapon",5639607722359,0.0263
"SpiderInMirror",2840021261817,0.0132
