"","Damage","Ratio"
"SummonBittingNeedlebat",15922020932142,0.1506
"ChainArtsMaelstrom",12767636006215,0.1208
"ADOrdnance",12480244199673,0.118
"WeaponVariety",10856658115529,0.1027
"ProfessionalAgent",7804327811724,0.0738
"ChainArtsFury",6218091990195,0.0588
"SummonStrikingBrick",4621045388247,0.0437
"ChainArtsStroke2",4465323968172,0.0422
"SummonScratchingClaw",4432568699921,0.0419
"SummonSlashingKnife",4388285688033,0.0415
"WeaponVarietyFinale",4201569170213,0.0397
"SummonShootingShotgun",3629535828861,0.0343
"SummonCuttingScimitar",3539210730546,0.0335
"SummonReleasingBomb",3223479016021,0.0305
"ChainArtsStroke1",3046308954707,0.0288
"SummonThrowingWingdagger",1569111282177,0.0148
"ChainArtsCrush",1439146776599,0.0136
"SpiderInMirror",1127472416055,0.0107
