"","Damage","Ratio"
"ArmorBreak",115887890961.061,0.0029
"AuraWeapon",878841172366.996,0.0223
"BlessofMasteriaGoddess",878265225837.594,0.0222
"BloodFeast",1669849193412.07,0.0423
"CallMastema",608277368256.02,0.0154
"DemonFrenzy",6333315636860.24,0.1604
"DimensionSword",2542032614565.29,0.0644
"EnhancedExceed",1262788969868.49,0.032
"ExceedExecution",13436773074933.1,0.3403
"Revenant",906654028287.716,0.023
"ShieldChasing",9653985533114,0.2445
"ThousandSword",654481782039.325,0.0166
"SpiderInMirror",545306025131.638,0.0138
