"","Damage","Ratio"
"AuraWeapon",1495949547123.91,0.0286
"AwakeningSlash",25478461997958.1,0.4875
"BlessofMasteriaGoddess",753279643036.31,0.0144
"CallMastema",505914182443.376,0.0097
"Cerberus",1802683146176.18,0.0345
"DemonBane",3808532969624.79,0.0729
"DemonImpact",6228943991693.98,0.1192
"DemonSlash",101187130761.073,0.0019
"DevilCry",803719710514.935,0.0154
"Jormungand",4018299963196.36,0.0769
"Metamorphosis",2058327788226.7,0.0394
"Orthros",4703490281704.75,0.09
"SpiderInMirror",503442340628.648,0.0096
