"","Damage","Ratio"
"Gwicham",8140299582912,0.2768
"SohonJangmak",7078976400860,0.2407
"JinGwicham",3548351926789,0.1207
"Bulyeouryeong",3485537790020,0.1185
"Gwimunjin",3305657982914,0.1124
"PashwaeYeongwon",2143655926159,0.0729
"JeongryeongeuiHwasin",490034049542,0.0167
"Pokryugwon",347401427792,0.0118
"SpiderInMirror",327307750748,0.0111
"GanganSuwolrae",177658046139,0.006
"PashwaeCheoljoHoe",146611621805,0.005
"RanghonJangmak",111719780169,0.0038
"Tongbaekgwon",37113414291,0.0013
"SahonGakin",35758313704,0.0012
"BunhonGyeokcham",12947922785,0.0004
"Paryeokgown",11937782362,0.0004
"PashwaeCheoljoHa",3334108504,0.0001
