"","Damage","Ratio"
"Bulyeouryeong",5511705649222.75,0.0718
"BulyeouryeongJipsok1",42059902205.423,0.0005
"BulyeouryeongJipsok2",139509872819.551,0.0018
"BulyeouryeongJipsok3",1290835819961.34,0.0168
"BulyeouryeongJipsok3Cancelled",298102044232.283,0.0039
"BulyeouryeongPashwaeYeongwon",1762589761588.56,0.0229
"BunhonGyeokchamATK",33353649074.5222,0.0004
"GanganSuwolrae",467027312829.859,0.0061
"Gwicham",20531839524808.3,0.2673
"GwichamJipsok",904767667729.471,0.0118
"Gwimunjin",8526313611307.67,0.111
"JeongryeongeuiHwasinJipsok",1201361157309.63,0.0156
"JeongryeongeuiHwasinJipsokCancelled",137108872348.207,0.0018
"JinGwicham",9319760941061.12,0.1213
"ParyeokgownJipsok",31117860668.2565,0.0004
"PashwaeCheoljoHaJipsok",8692920909.13406,0.0001
"PashwaeCheoljoHoe",353795524433.199,0.0046
"PashwaeCheoljoHoeJipsok",40008980022.5587,0.0005
"PashwaeCheoljoJeonJipsok",9562213000.04747,0.0001
"PashwaeYeongwon",1484673891042.12,0.0193
"PashwaeYeongwonLast",3984521167906.43,0.0519
"Pokryugwon1Jipsok",223978843519.146,0.0029
"Pokryugwon2Jipsok",230928840500.235,0.003
"Pokryugwon3Jipsok",236019254136.639,0.0031
"Pokryugwon4Jipsok",258045733110.591,0.0034
"RanghonJangmak",291401857692.242,0.0038
"SahonGakinJipsok",93231576750.4628,0.0012
"SohonJangmak",17652571391956.8,0.2298
"SohonJangmakJipsok",463117202927.304,0.006
"SohonJangmakJipsokCancelled",248496646295.923,0.0032
"SpiderInMirror",935891068194.061,0.0122
"Tongbaekgwon1Jipsok",21732302272.8352,0.0003
"Tongbaekgwon2Jipsok",22560784068.1393,0.0003
"Tongbaekgwon3Jipsok",38676507579.5379,0.0005
"TongbaekgwonFAJipsok",13760864449.014,0.0002
