"","Damage","Ratio"
"CircleofManaIV",9856731441492,0.2835
"DiveofEarth",5030664683038,0.1447
"JodiacRay",4440357337207,0.1277
"SpiralofMana",3929370398828,0.113
"ImperialBreath",2887477289590,0.0831
"DragonBreath",2093805056420,0.0602
"DragonBreak",1678584899728,0.0483
"ElementalBlast",849128959781,0.0244
"BreathReturn",777917142930,0.0224
"AdvancedDragonSparking",662683576044,0.0191
"MagicFragment",617604880977,0.0178
"BreathofWind",491002520373,0.0141
"SummonOnixDragon",395909552513,0.0114
"DragonDive",311827272118,0.009
"SpiderInMirror",300856721159,0.0087
"SwiftofThunder",206856069483,0.006
"SwiftofWind",76569851836,0.0022
"DarkFog",54396246601,0.0016
"DragonSwift",37717666686,0.0011
"CircleofEarth",21822678990,0.0006
"CircleofThunder",21822678990,0.0006
"CircleofWind",21822678990,0.0006
