"","Damage","Ratio"
"CircleofManaIV",24051154266630,0.2708
"JodiacRay",12991610569477,0.1463
"DiveofEarth",11387189132057,0.1282
"SpiralofMana",9330176086922,0.1051
"ImperialBreath",7437110361651,0.0838
"DragonBreath",5288890804272,0.0599
"DragonBreak",4202650473543,0.0473
"BreathofWind",2580262613753,0.0283
"ElementalBlast",2101101156368,0.0237
"BreathReturn",1886022655464,0.0212
"MagicFragment",1713219539518,0.0192
"AdvancedDragonSparking",1617228753057,0.0182
"SummonOnixDragon",1029851422500,0.0116
"BreathofEarth",890870024133,0.0102
"SpiderInMirror",818116028873,0.0092
"DragonDive",747061272075,0.0084
"DarkFog",215447829899,0.0024
"DragonSwift",192638684735,0.0022
"SwiftofWind",189480138376,0.0021
"CircleofEarth",54314106231,0.0006
"CircleofThunder",54314106231,0.0006
"CircleofWind",54314106231,0.0006
