"","Damage","Ratio"
"Bunsinnanmu",7460875584864,0.1961
"Heupseongwaryu",3527107692778,0.0927
"Toparyu",3508406875637,0.0922
"ToparyuHeo",3497806369323,0.092
"Gwihwabu",2801239417336,0.0736
"Goeryeoknansin",2703610356697,0.0711
"CheonjiinHwanyeong",2513578973519,0.0661
"Horobu",2238906919833,0.0589
"Bunsinbu",2185175768136,0.0574
"SanryeongSohwan",2177550331288,0.0572
"HojeopJimong",2094533017061,0.0551
"Geumgobong",2026456002882,0.0533
"Jijinswae",368011462289,0.0097
"JijinswaeHeo",368011462289,0.0097
"MisaengGangbyeon",306202257522,0.008
"SpiderInMirror",261909266358,0.0069
