"","Damage","Ratio"
"Bunsinnanmu",18954571059189,0.1943
"Heupseongwaryu",9070508945475,0.093
"Toparyu",9023714943440,0.0925
"ToparyuHeo",9003182694384,0.0923
"Gwihwabu",7203345676956,0.0738
"Goeryeoknansin",6904595943631,0.0708
"CheonjiinHwanyeong",6440243331058,0.066
"Horobu",5730010884692,0.0587
"Bunsinbu",5646627198412,0.0579
"SanryeongSohwan",5568345655113,0.0571
"HojeopJimong",5387879186834,0.0552
"Geumgobong",5194137538738,0.0532
"Jijinswae",951026718769,0.0097
"JijinswaeHeo",951026718769,0.0097
"MisaengGangbyeon",791523797999,0.0081
"SpiderInMirror",740217840363,0.0076
