"","Damage","Ratio"
"GlorywingEnhancedJavelin",20159846787193,0.2948
"CraftJavelinII",13647977768623,0.1996
"CrystalIgnition",6949368128891,0.1016
"ReactionDestruction",5583556193397,0.0816
"CrystalSkillDeus",4877507626953,0.0713
"CrystalGate",4026004678379,0.0589
"Gramholder",3767176536411,0.0551
"CurseMark",1827042647859,0.0267
"ReactionSpectrum",1681298740861,0.0246
"GlorywingMotalWingBeat",1400895323441,0.0205
"ReactionDomination",1281952197104,0.0187
"Longinus",699464174816,0.0102
"CrystalSkillMotalSwing",477749016235,0.007
"Liyo",462679277450,0.0068
"SpiderInMirror",458527092906,0.0067
"Machina",457269189911,0.0067
"MagicCircuitFullDrive",338497672442,0.0049
"CraftOrbII",287491529011,0.0042
