"","Damage","Ratio"
"GlorywingEnhancedJavelin",55481205390195,0.3222
"CraftJavelinII",32361918745584,0.1879
"CrystalIgnition",15758220333986,0.0915
"CrystalSkillDeus",13044733891953,0.0758
"ReactionDestruction",12487497826356,0.0725
"CrystalGate",10334606633236,0.06
"Gramholder",9419365406134,0.0547
"CurseMark",4544595259046,0.0264
"ReactionSpectrum",3813164058872,0.0221
"GlorywingMotalWingBeat",3711579880590,0.0216
"ReactionDomination",3136804127328,0.0182
"CraftLonginus",2006727969111,0.0117
"SpiderInMirror",1289647912626,0.0075
"MagicCircuitFullDrive",1106415339859,0.0064
"Liyo",1023090547094,0.0059
"CrystalSkillMotalSwing",988041192970,0.0057
"Machina",987401308254,0.0057
"CraftOrbII",704258116575,0.0041
