"","Damage","Ratio"
"DeathBlessing",4477184942691,0.1463
"DragonFang",2817660414527,0.0921
"GripofAgony",2644531255649,0.0864
"PossessDragonBurst",2120966331977,0.0693
"RemainIncense",1899168652458,0.0621
"ExecuteFatalBlitz",1790577347795,0.0585
"ThanatosDescentEnd",1650250848016,0.0539
"ExecutePoisonNeedle",1152333512559,0.0377
"GuidedArrow",1130474854879,0.037
"ExecuteChainSickle",954404205458,0.0312
"ThanatosDescent",901171688305,0.0295
"ScatteringShot",876430893633,0.0286
"PossessFallingDust",805653211095,0.0263
"PossessScatteringShot",792316295779,0.0259
"PossessShaftBreak",788070394923,0.0258
"StrikeArrow",730539592279,0.0239
"StrikeArrowII",548206198013,0.0179
"ShaftBreak",547508016347,0.0179
"ExecuteTearingKnife",538346585180,0.0176
"PossessStrikeArrow",536001559081,0.0175
"FallingDust",520692921425,0.017
"PossessExecuteSneakySniping",486344083190,0.0159
"StrikeArrowIII",438066581398,0.0143
"SneakySniping",436109560400,0.0143
"ChasingShot",372430148886,0.0122
"ExecutePhantomBlade",352790708894,0.0115
"SpiderInMirror",284512165461,0.0093
