"","Damage","Ratio"
"StrikeArrow",18983336875673004,0.1783
"DeathBlessing",17516442662552818,0.1645
"Possession",10440835281620152,0.0981
"ExecuteChainSickle",7075607380932666,0.0665
"PossessDragonBurst",5177273693365365,0.0486
"ScatteringShot",4918410008697097,0.0462
"ExecuteFatalBlitz",4832122113807674,0.0454
"ExecutePoisonNeedle",3796667375134601,0.0357
"ShaftBreak",3710379480245178,0.0348
"ExecutePhantomBlade",3624091585355756,0.034
"PossessScatteringShot",3365227900687487,0.0316
"PossessStrikeArrow",3192652110908642,0.03
"ExecuteTearingKnife",3106364216019219,0.0292
"FallingDust",2847500531350951,0.0267
"PossessShaftBreak",1984621582456723,0.0186
"ExecutePoisonNeedleEnd",1898333687567300,0.0178
"PossessFallingDust",1898333687567300,0.0178
"ThanatosDescentEnd",1553182108009610,0.0146
"ChasingShot",1121742633562496,0.0105
"SneakySniping",776591054004805,0.0073
"PossessExecuteSneakySniping",517727369336536,0.0049
"ExecuteFatalBlitzEnd",345151579557691,0.0032
"ExecuteFatalBlitzPre",345151579557691,0.0032
"GripofAgony",345151579557691,0.0032
"PossessDragonBurstEnd",345151579557691,0.0032
"PossessDragonBurstPre",345151579557691,0.0032
"SoulContractLink",345151579557691,0.0032
"BreathShooterBooster",172575789778846,0.0016
"CriticalReinforce",172575789778846,0.0016
"Incanation",172575789778846,0.0016
"Restraint4",172575789778846,0.0016
"ThanatosDescent",172575789778846,0.0016
"ThanatosDescentEndEnd",172575789778846,0.0016
"ThanatosDescentEndPre",172575789778846,0.0016
"UsefulCombatOrders",172575789778846,0.0016
"UsefulSharpEyes",172575789778846,0.0016
"0",86287894889423,0.0008
"BlessofGrandisGoddess",86287894889423,0.0008
"End",86287894889423,0.0008
"GuidedArrowSummoned",86287894889423,0.0008
"MapleSoldier",86287894889423,0.0008
"SpiderInMirror",86287894889423,0.0008
