"","Damage","Ratio"
"AdvancedWillofSword",6053971740527.18,0.0418
"AuraWeapon",2861192026329.2,0.0197
"DracoSlasher",35727560282891.2,0.2465
"DragonBlaze",15062479433016.4,0.1039
"DragonSlash",10594237963.0306,0.0001
"GigaSlasher",39939326301012.5,0.2755
"GuardianofNova",13489037993007.5,0.0931
"InfernalBreath",3292551290167.02,0.0227
"Petrified",1239439650426.6,0.0086
"Prominance",1541253485902.97,0.0106
"SpiderInMirror",1180838347928.71,0.0081
"WillofSwordStrike",13443395851256.7,0.0927
"WingBeat",11110659138611.9,0.0767
