"","Damage","Ratio"
"PsychicSmashing",14674122390719,0.1689
"UltimateBPM",12656975020746,0.1457
"UltimateMovingMatter",12335067485714,0.142
"UltimateMaterial",11984168327070,0.1379
"LawofGravity",9725362581715,0.1119
"UltimateTrain",8838970679218,0.1017
"UltimatePsychicShot",4387855350468,0.0505
"PsychicTornado",3431598652013,0.0395
"Telekinesis",2663387661202,0.0307
"PsychicDrain",2632071330242,0.0303
"BlessofMasteriaGoddess",1656500470239,0.0191
"PsychoBreak",767543272572,0.0088
"SpiderInMirror",724059775136,0.0083
"EverPsychic",362639378924,0.0042
"PsychicGround",37940804197,0.0004
