"","Damage","Ratio"
"UltimateMaterial",21458748779740,0.2115
"PsychicSmashing",17514261440576,0.1727
"UltimateBPM",14298692135156,0.141
"UltimateMovingMatter",13580282890987,0.1339
"LawofGravity",10831094575757,0.1068
"UltimateTrain",10068763406466,0.0993
"PsychicTornado",4078965162608,0.0402
"PsychicDrain",3046042470141,0.03
"Telekinesis",2958757782061,0.0292
"BlessofMasteriaGoddess",1824122275750,0.018
"SpiderInMirror",806779844541,0.008
"PsychoBreak",546548427764,0.0054
"EverPsychic",398678811255,0.0039
"PsychicGround",28183384858,0.0003
