"","Damage","Ratio"
"AdvancedFinalAttack",3176017761524.62,0.1293
"AdvancedStrikeDualShot",1247548647911.86,0.0508
"BreathofIrkalla",5116937548297.03,0.2084
"ElementalGhost",534948172560.467,0.0218
"ElementalKnight",1415065830226.95,0.0576
"GuidedArrow",1290949615176.8,0.0526
"LegendrySpear",796939900472.866,0.0325
"RingofIshtar",5296887703139.03,0.2157
"RoyalKnights",2041945926954.82,0.0832
"UnicornSpike",1109774552809.27,0.0452
"WrathofEnlil",2162338768143.88,0.0881
"SpiderInMirror",364622504569.048,0.0148
