"","Damage","Ratio"
"CardinalDischarge",4231459838128,0.1962
"CardinalBlast",4226364137507,0.196
"TripleImpact",2844525403759,0.1319
"RavenTempest",2344668512397,0.1087
"EdgeofResonance",2294688940610,0.1064
"UltimateBlast",1125825382280,0.0522
"RelicUnbound",978734396060,0.0454
"AdditionalBlast",949971968834,0.0441
"AdditionalDischarge",946400409950,0.0439
"GuidedArrow",457229716335,0.0212
"ObsidianBarrier",431300954380,0.02
"CardinalTransition",295882461240,0.0137
"Evolve",194148200003,0.009
"SpiderInMirror",171168386984,0.0079
"Raven",71913104918,0.0033
