"","Damage","Ratio"
"CardinalBlast",12488732856803,0.1939
"CardinalDischarge",12467494045633,0.1936
"TripleImpact",8341552124483,0.1295
"RavenTempest",7138876850304,0.1108
"EdgeofResonance",6736411521904,0.1046
"UltimateBlast",3136599961395,0.0487
"RelicUnbound",2967802888629,0.0461
"AdditionalBlast",2816656138848,0.0437
"AdditionalDischarge",2800500640648,0.0435
"GuidedArrow",1726936736889,0.0268
"ObsidianBarrier",1533229118012,0.0238
"CardinalTransition",874759955902,0.0136
"Evolve",615193487117,0.0096
"SpiderInMirror",550799492916,0.0086
"Raven",210602364424,0.0033
