"","Damage","Ratio"
"AnotherBite",3272493872606,0.1529
"WildVulcan",2671875505444,0.1248
"RampageasOne",2244522389451,0.1049
"SonicBoom",2168161796052,0.1013
"WildVulcanTypeX",1898575921069,0.0887
"ClawCut",1383443806228,0.0646
"AdvancedFinalAttack",1329148174160,0.0621
"WildGrenade",925122915972,0.0432
"AssistantHuntingUnit",888287402066,0.0415
"DrillContainer",823857864707,0.0385
"JaguarMaximum",803571683870,0.0375
"ResistanceLineInfantry",716751453151,0.0335
"SummonJaguar",588716018217,0.0275
"CrossRoad",567484567919,0.0265
"GuidedArrow",563921428246,0.0263
"JaguarSoul",329273533643,0.0154
"SpiderInMirror",227540115448,0.0106
