"","Damage","Ratio"
"AnotherBite",8772100224198,0.1564
"WildVulcan",6773325667071,0.1208
"RampageasOne",5829300004065,0.104
"SonicBoom",5717402049938,0.102
"WildVulcanTypeX",4850401033609,0.0865
"ClawCut",3652749568899,0.0651
"AdvancedFinalAttack",3448198586794,0.0615
"WildGrenade",2353844007149,0.042
"JaguarMaximum",2263745501135,0.0404
"AssistantHuntingUnit",2253172131647,0.0402
"DrillContainer",2092821178010,0.0373
"ResistanceLineInfantry",1998877182476,0.0356
"GuidedArrow",1575634379407,0.0281
"SummonJaguar",1564839221925,0.0279
"CrossRoad",1499138804211,0.0267
"JaguarSoul",856238690577,0.0153
"SpiderInMirror",576067638608,0.0103
