"","Damage","Ratio"
"AdvancedRollingAssaulter",4188844399570,0.1137
"AdvancedPowerStump",3241552450861,0.088
"AdvancedRollingCurve",3052599723537,0.0829
"JointAttack",2838844868282,0.0771
"AdvancedThrowingWeapon",2763678729405,0.075
"EgoWeapon",2480625509545,0.0673
"ShadowFlash",2424782317772,0.0658
"AdvancedEarthBreak",2348351484942,0.0637
"AdvancedSpinCutter",1601423060969,0.0435
"AdvancedStormBreak",1562186901671,0.0424
"UpperSlash",1356043185413,0.0368
"ShadowRain",1089433417817,0.0296
"ShadowStrike",1017416404299,0.0276
"TurningDrive",862779030059,0.0234
"AuraWeapon",762564775070,0.0207
"MoonStrike",624926883268,0.017
"LimitBreak",610683947087,0.0166
"WindStrike",583318020224,0.0158
"WindCutter",577556682756,0.0157
"JumpingCrash",572196636459,0.0155
"PierceThrust",564715695478,0.0153
"BlessofRhinne",519653230934,0.0141
"GigaCrash",423996013423,0.0115
"SpiderInMirror",278443609481,0.0076
"FrontSlash",272438077392,0.0074
"AdvancedWhirlWind",221107644702,0.006
