"","Damage","Ratio"
"AdvancedRollingAssaulter",17587861625494,0.1109
"AdvancedPowerStump",13683239212158,0.0863
"AdvancedRollingCurve",12769753715519,0.0806
"AdvancedThrowingWeapon",11725880707115,0.074
"JointAttack",11486991843072,0.0725
"EgoWeapon",11022976863718,0.0695
"ShadowFlash",9979512396731,0.063
"AdvancedEarthBreak",9916492744153,0.0626
"AdvancedSpinCutter",6760573230310,0.0426
"AdvancedStormBreak",6597157504008,0.0416
"UpperSlash",5682044671852,0.0358
"ShadowRain",4353881131625,0.0275
"ShadowStrike",4302928008249,0.0271
"AuraWeapon",4002416432989,0.0252
"LimitBreak",3620973356861,0.0228
"TurningDrive",3613935848755,0.0228
"MoonStrike",2635687555218,0.0166
"FrontSlash",2603097294025,0.0164
"BlessofRhinne",2496618657929,0.0157
"WindStrike",2466546431054,0.0156
"WindCutter",2442052326049,0.0154
"JumpingCrash",2419992949315,0.0153
"PierceThrust",2404417915975,0.0152
"GigaCrash",1794034817871,0.0113
"SpiderInMirror",1232387010155,0.0078
"AdvancedWhirlWind",924257070031,0.0058
